ACO_Name,ACO_ID,year,ACO_State,Sav_Rate,CapAnn_INP_All,CapAnn_INP_S_trm,CapAnn_INP_L_trm,CapAnn_INP_Rehab,CapAnn_INP_Psych,CapAnn_HSP,CapAnn_SNF,CapAnn_HHA,ADM,ADM_S_Trm,ADM_L_Trm,ADM_Rehab,P_EDV_Vis,P_EDV_Vis_HOSP,P_EM_Total,P_EM_PCP_Vis,P_EM_SP_Vis,GenSaveLoss,FinalShareRate,P_SNF_ADM,QualScore,ACO1,ACO2,ACO3,ACO4,ACO5,ACO6,ACO7,ACO34,ACO45,ACO46,ACO8,ACO38,ACO43,QualityID318,QualityID_110,QualityID_226,QualityID_134_WI,QualityID_113,QualityID_112,QualityID_438,QualityID_370,QualityID_001_WI,QualityID_236_WI,N_AB,N_PCP,N_Ben_Race_Asian,N_Ben_Race_Hisp,N_Ben_Race_Other,N_Ben_Race_Hisp,N_Ben_Race_Asian,N_Ben_Race_White
"Privia Quality Network, LLC",A2057,2022,,9.96,2081,1888,31,157,19,209,447,365,182,171,1,8,460,140,10398,4073,4455,60042040,75.00%,36,88.01,,,,,,,,,,,,,,,83.95,90,83,75,77.92,72.06,34.78,6.99,76.49,60854,791.0,1081,425,889,425,1081,51252
"Privia Quality Network, LLC",A2057,2018,"VA, MD, DC",4.2918729,2732,2553,21,144,24,198,496,392,232,221,1,7,548,167,9986,4191,4649,43745863,46.81,45,0.9362,86.47,92.39,91.55,78.03,57.67,57.09,73.45,19.37,,,14.1,53.9,1.69,92.67,74.61,81.82,71.15,70.11,76.83,76.43,4,13.38,74.4,108224,677.0,2347,1254,4537,1254,2347,89058
Northern Michigan Health Network,A2058,2018,MI,3.84207,2839,2680,1,136,30,122,291,297,231,221,0,7,608,168,8604,4455,2987,3787489,48.46,29,0.9692000000000001,85.6,92.47,91.17,76.33,64.77,62.45,74.43,26.5,,,14.35,50.95,1.6,87.16,83.12,68.42,82.06,86.15,85.22,86.85,5.97,7.85,83.92,10865,112.0,9,2,245,2,9,10539
Northern Michigan Health Network,A2058,2019,MI,6.05,2545,2363,15,146,33,109,283,238,205,194,0,7,464,149,9018,4655,2754,3826876,50.0,29,99.38,89.04,95.22,93.64,83.69,68.15,65.29,77.11,31.53,95.93,87.88,14.67,48.06,1.42,87.81,83.74,88.89,79.57,90.56,89.67,87.93,13.64,5.71,85.89,7182,,,2,171,2,,6941
"Premier Patient Healthcare, LLC",A2067,2022,,7.90,2895,2056,77,628,33,133,306,501,240,196,2,29,479,161,10875,5002,4821,5925040,50.00%,22,79.82,,,,,,,,,,,,,,,76.47,84.38,61.9,73.2,73.56,89.17,11.9,11.08,85.25,7227,46.0,190,58,126,58,190,6384
"Premier Patient Healthcare, LLC",A2067,2018,"TX, OK",2.3102365,3305,2536,96,490,79,336,781,852,312,266,3,26,637,208,10832,4699,4779,3721172,41.77,55,0.8354,87.53,94.01,93.0,84.36,60.56,61.84,74.42,28.66,,,15.4,64.45,2.41,85.51,69.31,78.95,55.39,70.25,66.67,86.38,18,16.15,75,14352,89.0,204,128,379,128,204,12862
"Premier Patient Healthcare, LLC",A2067,2021,,7.90,2895,2056,77,628,33,133,306,501,240,196,2,29,479,161,10875,5002,4821,5925040,50.00,22,79.82,,,,,,,,,,,,,,,76.47,84.38,61.9,73.2,73.56,89.17,11.9,11.08,85.25,7227,46.0,190,58,126,58,190,6384
"Premier Patient Healthcare, LLC",A2067,2019,"TX, OK",5.6899999999999995,3360,2517,200,525,49,332,656,784,295,248,5,27,628,197,11297,5061,4742,9366261,48.0,46,95.5,88.48,95.86,94.27,83.45,61.48,62.99,75.5,32.7,93.67,88.68,14.64,56.81,2.16,87.5,75.4,83.33,63.36,62.65,63.79,86.69,11.11,15.49,77,14162,,,107,442,107,,12625
"Premier Patient Healthcare, LLC",A2067,2020,"TX, OK",8.37,2561,1962,90,410,42,161,293,560,228,192,2,19,462,156,10570,5174,4385,8831068,0.49,22,97.34,^,^,^,^,^,^,^,^,^,^,~,~,0.75,83.18,80.21,83.33,55.51,70.2,66.28,75.3,7.81,11.11,79.78,11020,57.0,213,56,372,56,213,9885
"Renown Accountable Care, LLC",A2070,2020,NV,3.71,3340,2972,95,180,115,390,637,547,272,252,2,9,666,187,10015,3108,4037,7634090,0.4,47,98.97,^,^,^,^,^,^,^,^,^,^,~,~,1.0,85.08,87.41,96.67,77.57,73.98,73.39,84.69,12.15,12.39,75.81,19144,290.0,388,304,651,304,388,17421
"Renown Accountable Care, LLC",A2070,2021,,-2.21,3152,2909,108,97,71,216,1045,358,241,228,3,5,750,162,10802,2564,4342,0,40.00,73,82.54,,,,,,,,,,,,,,,83.14,91.67,71.79,76.91,81.08,90.89,9.38,9.23,67.07,7306,240.0,95,148,108,148,95,6696
"Renown Accountable Care, LLC",A2070,2019,NV,2.93,3892,3509,130,151,144,393,717,529,321,297,4,7,811,217,10573,3326,4198,7333028,46.0,57,92.17,80.03,92.73,91.08,75.39,60.64,66.41,72.63,22.81,91.44,85.39,14.93,57.96,2.18,91.07,83.52,100,83.67,67.02,75.64,83.18,11,15.81,78.26,21698,,,442,726,442,,19584
"Renown Accountable Care, LLC",A2070,2022,,-2.21,3152,2909,108,97,71,216,1045,358,241,228,3,5,750,162,10802,2564,4342,0,40.00%,73,82.54,,,,,,,,,,,,,,,83.14,91.67,71.79,76.91,81.08,90.89,9.38,9.23,67.07,7306,240.0,95,148,108,148,95,6696
"Renown Accountable Care, LLC",A2070,2018,NV,-0.1762909,3623,3307,122,125,84,155,459,348,317,297,4,6,786,212,9769,3048,4303,0,44.91,38,0.8983,80.38,94.07,91.54,77.14,55.5,61.91,72.41,21.88,,,14.9,59.45,2.0,90.12,84.48,100,76.12,67.5,78.4,78.1,4.17,12.87,79.12,19002,280.0,416,373,601,373,416,17146
"Orange Accountable Care of South Florida, LLC",A2074,2018,"FL, NJ",2.6774762,4434,3589,174,596,121,906,1277,1610,448,399,5,30,847,360,14922,5451,8065,8575481,46.339999999999996,88,0.9268,86.0,94.1,92.72,82.84,64.53,68.33,72.29,33.03,,,15.89,65.3,2.01,88.61,60.98,96.15,65.15,73.87,76.61,80.33,9.76,13.45,78.4,20008,187.0,190,1935,826,1935,190,15151
"Orange Accountable Care of South Florida, LLC",A2074,2019,FL,9.6,3522,2939,99,494,49,390,568,1346,335,301,3,25,708,260,14562,6277,7532,13463491,49.0,41,97.31,91.01,95.08,93.59,83.99,58.63,59,72.53,31.73,91.48,86.16,15.52,53.01,1.9,88.62,83.96,88.89,86.49,80.56,82.38,89.3,55.26,13.54,86.94,9790,,,928,486,928,,7205
"First Coast Health Alliance, LLC",A2083,2021,,4.87,3220,2873,*,315,13,357,533,517,276,256,*,17,567,219,12165,4569,6109,4191728,40.00,48,72.98,,,,,,,,,,,,,,,67.51,71.43,69.89,69.74,74.7,87.6,10.53,14.84,69.15,7029,60.0,72,*,55,*,72,6417
"First Coast Health Alliance, LLC",A2083,2019,FL,-0.15,3667,3494,71,103,25,533,883,659,323,314,2,5,654,244,13356,4807,6396,0,46.0,80,92.17,89.13,94.07,92.07,84.18,60.24,65.6,73.69,27.23,94.26,86.11,15.06,60.4,1.84,71.09,72.66,78.57,69.61,73.88,86.45,88.79,0,17.41,77.18,9874,,,41,244,41,,9046
"First Coast Health Alliance, LLC",A2083,2020,FL,5.29,2877,2735,35,115,16,461,777,503,256,248,1,5,497,203,12656,4610,5853,5505437,0.39,61,96.87,^,^,^,^,^,^,^,^,^,^,~,~,1.08,84.4,67.04,78.57,70.15,71.27,80.78,85.71,8.33,17.63,72.16,8999,60.0,69,33,239,33,69,8226
"First Coast Health Alliance, LLC",A2083,2018,FL,-0.0922424,3690,3499,96,90,30,437,1009,680,329,319,3,4,688,250,12790,4638,6227,0,44.42,84,0.8884000000000001,90.68,93.46,91.63,86.27,62.1,64.01,73.84,27.21,,,15.69,61.79,1.86,77.95,75.78,87.5,78.16,76.34,82.44,88.07,13.16,16.09,80.86,11979,53.0,69,43,257,43,69,11025
"First Coast Health Alliance, LLC",A2083,2022,,4.87,3220,2873,*,315,13,357,533,517,276,256,*,17,567,219,12165,4569,6109,4191728,40.00%,48,72.98,,,,,,,,,,,,,,,67.51,71.43,69.89,69.74,74.7,87.6,10.53,14.84,69.15,7029,60.0,72,*,55,*,72,6417
Genuine Health ACO LLC,A2084,2019,FL,2.17,4093,3351,131,559,101,715,814,1573,395,353,3,28,792,315,14910,5873,7754,3993363,50.0,63,99.19,88.94,95.51,94.27,85.77,65.94,67,72.12,31.26,92.34,88.55,15.98,57.71,1.72,90.73,66.11,66.67,59.45,70.21,72.18,82.92,12.9,9.52,87.01,12329,,,1421,496,1421,,9370
Genuine Health ACO LLC,A2084,2018,FL,0.9533642,4010,3279,114,504,147,489,929,1471,410,366,4,24,808,320,13875,5282,7570,990980,37.05,72,0.7411,85.64,94.48,93.4,83.51,64.94,66.78,70.78,28.76,,,15.96,64.22,1.96,70.49,36.93,55.56,32.97,39.09,45.86,72.44,0,25.41,74.33,7291,110.0,115,986,284,986,115,5348
Genuine Health ACO LLC,A2084,2020,FL,6.9,3347,2839,108,420,48,594,596,1217,309,280,3,20,584,249,13619,5621,6853,11630345,0.48,40,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.94,91.27,64.17,100,53.75,71.43,68.38,84.06,28.57,18.43,80.31,12606,155.0,141,1630,582,1630,141,9345
Physician Direct Accountable Care Organization LLC,A2085,2018,MI,1.9025144,3739,3263,109,297,104,161,543,436,378,350,3,16,736,292,9756,3856,5266,0,43.39,57,0.8676999999999999,83.11,93.97,92.67,82.53,61.12,65.23,73.71,23.97,,,15.36,60.69,2.48,93.79,78.53,75.93,94.35,54.96,64.77,78.57,0,17.72,74.7,5567,69.0,39,29,145,29,39,4838
Physician Direct Accountable Care Organization LLC,A2085,2019,MI,-0.54,3861,3398,80,319,85,120,674,455,379,349,2,18,714,286,9951,4136,5150,0,46.0,63,92.17,86.32,94.85,94.14,84.15,67.9,69.03,73.26,25.3,91.57,87.37,14.69,64.41,2.3,86.76,72.4,80.95,80.73,63.07,67.48,84.59,11.76,15.59,80.44,6586,,,27,167,27,,5709
ACONA,A2087,2018,AL,1.4997588,3186,2588,162,287,177,550,710,780,354,314,6,18,691,237,9446,4505,4216,0,44.5,72,0.8901,93.21,95.68,95.38,87.98,52.38,62.99,71.16,24.3,,,15.1,62.04,2.66,87.67,63.86,81.93,60.87,58.35,56.77,76.15,13.7,20.59,70.52,6170,24.0,15,8,69,8,15,5723
Mercy Health Corporation,A2097,2018,"IL, WI",5.1634044,3105,2768,59,248,60,239,607,304,320,299,1,12,821,221,8635,3780,3685,9849520,45.17,51,0.9035,82.12,93.31,91.06,76.67,59.52,55.54,74.62,24.7,,,14.62,66.98,2.09,95.31,70,69.12,93.31,70.99,72.58,85.41,0,11.51,81.12,18988,349.0,104,221,459,221,104,17310
Mercy Health Corporation,A2097,2021,,8.67,2520,2295,38,189,28,205,584,293,229,216,1,9,690,161,8117,3193,3432,14067080,40.00,43,84.52,,,,,,,,,,,,,,,76.61,85.37,88.25,80.73,79.84,84.84,49.55,11.35,79.09,15124,437.0,*,145,85,145,*,14012
Mercy Health Corporation,A2097,2020,"IL, WI",9.15,2455,2218,32,176,47,227,512,293,246,231,1,9,683,170,7610,3142,3344,15632471,0.4,41,100.0,^,^,^,^,^,^,^,^,^,^,~,~,0.86,97.41,79.22,95.92,93.57,80.86,79.5,84.68,40.68,13.74,82.43,17804,434.0,97,212,492,212,97,16355
Mercy Health Corporation,A2097,2019,"IL, WI",5.8500000000000005,3147,2782,65,275,46,269,703,323,311,290,1,14,829,209,8589,3618,3646,12141767,46.0,55,92.17,82.64,92.62,91.1,79.5,63.33,57.02,74.17,25.44,93.72,86.71,14.7,63.01,1.98,97.11,73.25,79.49,94.56,75.08,80,81.15,21.95,13.87,82.96,19684,,,244,518,244,,18042
Mercy Health Corporation,A2097,2022,,8.67,2520,2295,38,189,28,205,584,293,229,216,1,9,690,161,8117,3193,3432,14067080,40.00%,43,84.52,,,,,,,,,,,,,,,76.61,85.37,88.25,80.73,79.84,84.84,49.55,11.35,79.09,15124,437.0,*,145,85,145,*,14012
"The Accountable Care Organization, Ltd.",A2098,2019,MI,0.9400000000000001,3562,3185,67,247,92,150,633,505,354,329,2,14,679,270,11983,5493,5741,0,46.0,60,92.17,85.15,93.34,92.26,82.49,61.51,64.68,74.2,32.34,90.64,85.71,15.34,64.55,2.1,63.43,69.57,69.05,64.48,62.44,63.86,89.03,4.76,14.55,74.95,22632,,,35,899,35,,18089
"The Accountable Care Organization, Ltd.",A2098,2020,"MI, NC, TX, IN",3.83,2679,2327,67,270,41,338,595,461,255,235,2,14,481,191,9973,4331,4173,21706111,0.73,48,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.87,75.09,64.71,46.15,64.27,73.52,71.26,83.93,4.76,14.89,70.57,57930,437.0,566,617,2068,617,566,49507
"The Accountable Care Organization, Ltd.",A2098,2021,,5.57,2730,2390,48,282,30,398,652,534,247,229,1,14,542,190,11338,4581,4755,55226371,75.00,49,80.17,,,,,,,,,,,,,,,81.64,71.43,74.9,74.9,75.38,87.69,2.94,9.04,78.2,86482,731.0,1542,715,1510,715,1542,74707
"The Accountable Care Organization, Ltd.",A2098,2022,,5.57,2730,2390,48,282,30,398,652,534,247,229,1,14,542,190,11338,4581,4755,55226371,75.00%,49,80.17,,,,,,,,,,,,,,,81.64,71.43,74.9,74.9,75.38,87.69,2.94,9.04,78.2,86482,731.0,1542,715,1510,715,1542,74707
"The Accountable Care Organization, Ltd.",A2098,2018,MI,-0.2656438,3481,3105,67,243,96,146,606,515,355,331,2,14,683,274,11322,5041,5687,0,42.699999999999996,61,0.8539,89.24,93.85,92.08,83.92,58.14,60.12,74.77,25.68,,,15.26,64.14,2.09,68.99,71.16,74.36,67.01,68.76,65.38,88.57,13.33,16.18,76.34,23722,183.0,325,42,854,42,325,19004
"FamilyHealth ACO, LLC",A2100,2020,NY,10.59,3909,3067,48,113,703,88,1040,321,311,266,1,4,906,254,12886,792,4163,15210154,0.48,44,96.87,^,^,^,^,^,^,^,^,^,^,~,~,1.13,67.81,73.45,89.61,61.28,66.98,61.18,83.2,16.28,24.34,69.42,11910,413.0,176,1131,773,1131,176,7134
NY FamilyHealth MSSP Enhanced,A2100,2022,,7.75,3764,3164,*,154,421,111,1054,307,294,263,*,*,927,244,13219,774,4700,8645470,75.00%,43,74.72,,,,,,,,,,,,,,,73.65,72.73,71.13,54.83,54.66,85.26,23.58,14.94,63.61,8940,441.0,137,872,188,872,137,5473
"FamilyHealth ACO, LLC",A2100,2018,NY,4.2742922000000005,4454,3590,26,115,731,62,1180,314,383,331,1,5,1194,297,10971,667,4906,3783048,43.37,59,0.8674,81.93,91.94,91.71,80.65,66.28,65.17,73.72,22.93,,,15.69,71.72,2.19,85.89,73.52,92.42,87.99,70.28,68,85.28,12.32,15.82,68.4,6976,350.0,103,663,356,663,103,4412
NY FamilyHealth MSSP Enhanced,A2100,2021,,7.75,3764,3164,*,154,421,111,1054,307,294,263,*,*,927,244,13219,774,4700,8645470,75.00,43,74.72,,,,,,,,,,,,,,,73.65,72.73,71.13,54.83,54.66,85.26,23.58,14.94,63.61,8940,441.0,137,872,188,872,137,5473
"FamilyHealth ACO, LLC",A2100,2019,NY,6.61,4304,3585,4,113,615,73,1103,302,359,307,1,5,1118,273,11571,756,4592,10005318,46.0,52,92.17,84.07,91.28,89.63,78.15,69.66,64.94,72.93,22.66,87.19,82.71,15.08,74.69,1.99,82.02,66.34,78.57,81.31,66.35,60.76,84.85,19.83,16.88,67.11,11971,,,1153,735,1153,,7446
Allegiance ACO,A2105,2019,"NJ, PA",5.53,3801,3260,123,368,106,197,872,383,333,307,2,15,766,243,11309,3471,5714,6958661,46.0,63,92.17,82.62,92.31,91.47,77.8,60.53,62.03,75.37,28.57,89.52,84.31,14.9,61.59,1.97,56.85,69.87,63.64,60,70.04,78.6,77.69,16,33.33,60.08,10259,,,383,265,383,,8210
Allegiance ACO,A2105,2018,"NJ, PA",3.5308186,3754,3199,119,416,53,273,859,404,325,299,2,18,696,246,11882,4672,6148,4296071,41.28,67,0.8256,90.83,95.14,93.6,83.56,64.31,62.57,75.49,23.78,,,15.69,61.74,2.27,73.23,72.08,77.78,63.1,67.17,74.4,81.42,5.88,29.5,67.01,9902,83.0,279,288,328,288,279,7723
"Primary PartnerCare ACO Independent Practice Association, Inc.",A2107,2020,NY,7.9,3143,2924,7,144,93,120,1043,474,234,224,0,6,396,181,13916,6753,6416,12317570,0.4,44,99.69,^,^,^,^,^,^,^,^,^,^,~,~,0.65,92.01,95.71,100,92.71,92.37,86.88,100,11.11,8.64,91.39,12794,71.0,343,114,634,114,343,10973
"Primary PartnerCare ACO Independent Practice Association, Inc.",A2107,2019,NY,4.47,4193,3991,7,134,74,178,1627,659,322,312,0,5,579,255,15258,7395,7018,11382095,49.0,74,97.13,90.91,95.25,93.3,82.41,62.12,63.16,72.13,23.33,90.74,87.15,14.48,59.07,1.55,99.1,93.88,100,97.35,91.43,84.88,99.64,13.33,8.99,95.24,17245,,,182,907,182,,14192
"Primary PartnerCare ACO Independent Practice Association, Inc.",A2107,2021,,11.22,3418,3238,*,160,*,166,1876,552,274,266,*,*,507,226,15655,6861,7517,12367881,50.00,71,98.35,,,,,,,,,,,,,,,96.86,96.55,96.34,93.98,90.11,93.59,0,6.12,93.87,6972,43.0,240,*,145,*,240,5873
"Primary PartnerCare ACO Independent Practice Association, Inc.",A2107,2018,NY,6.0575775,3595,3387,15,112,85,123,1413,578,294,283,0,5,551,230,13189,5834,6679,15807043,47.660000000000004,68,0.9533,88.91,94.27,91.91,81.13,63.4,59.34,74.69,19.02,,,14.8,58.96,1.69,96.44,90.87,100,94.19,90.51,84.72,98.22,0,17.86,80.41,19384,90.0,489,272,906,272,489,16150
"Primary PartnerCare ACO Independent Practice Association, Inc.",A2107,2022,,11.22,3418,3238,*,160,*,166,1876,552,274,266,*,*,507,226,15655,6861,7517,12367881,50.00%,71,98.35,,,,,,,,,,,,,,,96.86,96.55,96.34,93.98,90.11,93.59,0,6.12,93.87,6972,43.0,240,*,145,*,240,5873
Live Oak Care,A2120,2022,,3.99,2418,2075,62,263,50,328,390,464,229,208,2,14,507,172,12076,5350,5059,7161501,50.00%,30,83.80,,,,,,,,,,,,,,,74.52,95.83,70.3,74.01,73.74,88.78,14,11.07,72.68,17900,132.0,153,70,131,70,153,15394
Live Oak Care,A2120,2021,,3.99,2418,2075,62,263,50,328,390,464,229,208,2,14,507,172,12076,5350,5059,7161501,50.00,30,83.80,,,,,,,,,,,,,,,74.52,95.83,70.3,74.01,73.74,88.78,14,11.07,72.68,17900,132.0,153,70,131,70,153,15394
Live Oak Care,A2120,2020,"GA, AL",1.6500000000000001,2970,2473,94,329,106,410,600,596,299,266,3,18,604,213,11126,5089,4577,0,0.39,46,97.5,^,^,^,^,^,^,^,^,^,^,~,~,1.26,90.83,74.5,83.08,74.33,71.21,70.2,85.24,22.81,12.1,67.29,18639,83.0,91,50,298,50,91,15394
Live Oak Care,A2120,2018,GA,1.5908935,3268,2858,132,212,112,290,457,558,325,299,3,12,719,219,11162,4961,5012,0,46.96,40,0.9393,89.28,93.66,92.86,84.35,58.55,59.51,73.74,33.77,,,14.61,59.47,2.27,84.05,67.74,84.51,65.76,70.03,72.64,88.89,14.81,18.48,65.36,18677,76.0,81,45,254,45,81,14779
Live Oak Care,A2120,2019,"GA, AL",1.94,3296,2795,120,267,141,393,569,588,328,296,3,14,724,226,11816,5402,4982,0,46.0,49,92.17,90.32,94.59,92.93,85.1,63.1,62.73,71.74,32.72,94.48,88.58,14.99,60.91,2.2,84.46,67.73,77.27,68.44,70.2,70.18,85.3,15.22,17.01,71.16,22821,,,56,325,56,,18866
"Central US ACO, LLC",A2129,2019,"KY, MO, AR, OK",-11.87,4923,4308,152,293,227,1230,2368,506,520,479,4,16,1030,345,13969,2794,2427,-9309528,48.0,165,95.54,89.86,93.36,91.6,84.18,59.67,66.39,68.93,28.56,94.92,85.72,15.0,61.64,1.69,99.63,77.64,97.83,62.88,65.72,67.38,97.11,19.35,35.37,63.91,11871,,,36,95,36,,11394
"Central US ACO, LLC",A2129,2020,"MO, OK, AR, KY",-2.56,3261,2864,151,178,146,1794,2439,444,369,338,6,10,773,273,15118,4433,2069,0,0.39,155,97.81,^,^,^,^,^,^,^,^,^,^,~,~,0.73,96.33,97.1,98.94,49.57,61.86,58,98.01,41.67,12.58,45.5,5524,60.0,18,24,61,24,18,5210
"Central US ACO, LLC",A2129,2018,"MO, KY, AR, OK",-13.331374300000002,5167,4498,165,373,184,1103,2443,444,565,520,4,20,1104,376,13361,3458,2677,-16524123,40.160000000000004,167,0.8031,89.95,95.3,93.04,86.26,49.62,61.66,67.42,30.4,,,16.48,86.8,2.79,78.76,80,94.25,72.09,58.31,58.47,88.46,5.26,26.01,77.6,9448,126.0,22,22,73,22,22,9010
MD Value Care,A2141,2022,,7.01,2208,1815,*,378,14,125,297,356,196,176,*,18,466,143,9847,3716,4786,9499518,50.00%,20,84.18,,,,,,,,,,,,,,,92.8,75,92.57,84.34,81.68,90.37,18.33,5.8,81.88,14518,69.0,129,19,165,19,129,12044
MD Value Care,A2141,2020,VA,2.91,2463,2062,29,369,33,133,250,377,213,192,1,18,439,149,9246,3698,4475,3836615,0.49,18,98.75,^,^,^,^,^,^,^,^,^,^,~,~,0.63,97.39,92.82,86.49,90.97,83.74,79.84,87.27,10.23,8.9,78.02,15398,64.0,132,17,638,17,132,12501
MD Value Care,A2141,2018,VA,2.2286552,2597,2214,11,337,48,120,302,360,246,222,0,18,570,168,9814,3819,4952,0,47.5,24,0.9501,86.14,94.63,93.8,81.7,63.75,63.39,74.76,24.94,,,14.61,53.81,1.49,97.05,95.68,70,90.52,81.36,79.54,82.47,10.94,8.05,77.87,15191,62.0,133,14,550,14,133,12127
MD Value Care,A2141,2019,VA,2.23,2667,2300,11,347,24,114,397,403,247,226,0,17,558,177,10123,3994,4916,0,46.0,30,92.17,85.42,93.2,92.18,79.94,64.96,64.17,76.09,24.21,92.8,88.6,14.34,58.8,1.54,96.42,95.27,81.82,92.17,82.67,76.65,84.08,14.46,7.26,79.11,15704,,,17,627,17,,12600
MD Value Care,A2141,2021,,7.01,2208,1815,*,378,14,125,297,356,196,176,*,18,466,143,9847,3716,4786,9499518,50.00,20,84.18,,,,,,,,,,,,,,,92.8,75,92.57,84.34,81.68,90.37,18.33,5.8,81.88,14518,69.0,129,19,165,19,129,12044
Buena Vida y Salud LLC,A2142,2021,,9.46,3158,2481,278,425,*,472,862,666,288,253,*,22,669,205,13729,8321,4333,3959770,40.00,67,81.23,,,,,,,,,,,,,,,72.71,70,73.31,74.42,75.4,88.51,18.92,9.94,77.17,3190,33.0,*,396,40,396,*,2601
Buena Vida y Salud LLC,A2142,2019,TX,5.21,4356,3493,389,380,126,213,756,1121,418,373,12,20,909,315,13925,8654,4094,3240878,46.0,65,92.17,88.16,93.55,92.4,84.3,64.86,57.51,71.3,30.21,92.32,85.2,15.08,56.89,2.11,77.38,61.88,64.41,64.58,53.18,56.03,82.61,25.93,24.49,71.84,4635,,,935,111,935,,3428
Buena Vida y Salud LLC,A2142,2020,TX,1.26,4087,3078,374,526,136,442,962,970,349,300,13,24,715,250,13160,7586,4035,0,0.39,83,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.77,72.44,60.61,75.36,67.84,58.8,61.36,84.91,22.22,25.42,73.23,5086,36.0,23,723,117,723,23,4031
Buena Vida y Salud LLC,A2142,2022,,9.46,3158,2481,278,425,*,472,862,666,288,253,*,22,669,205,13729,8321,4333,3959770,40.00%,67,81.23,,,,,,,,,,,,,,,72.71,70,73.31,74.42,75.4,88.51,18.92,9.94,77.17,3190,33.0,*,396,40,396,*,2601
Buena Vida y Salud LLC,A2142,2018,TX,6.3613052,3652,2900,455,311,46,227,730,1040,370,333,15,15,799,276,12701,8024,4109,3158768,47.07,59,0.9414,89.45,94.04,92.1,82.42,59.49,58.75,67.79,33.29,,,14.85,53.26,2.04,75.53,71.58,76.47,68.95,61.47,67.16,78.1,21.67,22.43,72.47,4103,26.0,8,846,79,846,8,3138
"Health Choice Care, LLC",A2147,2019,"FL, NC, RI, MO",3.09,3869,3276,144,246,246,81,423,566,398,347,3,12,1159,312,9530,586,3876,5363330,46.0,38,92.17,83.88,91.85,87.85,83.09,65.97,65.7,74.27,27.61,89.88,84.61,15.38,68.92,1.95,97.78,50.34,96.43,97.13,61.03,64.05,87.63,26.36,19.28,73.79,15370,,,2289,724,2289,,8387
"Health Choice Care, LLC",A2147,2018,"FL, MO, RI, NC",5.7165836,3559,2983,130,236,239,98,393,641,393,343,3,12,1184,306,9386,628,3990,6751530,42.51,34,0.8503000000000001,80.86,91.7,89.07,85.28,63.37,60.32,73.11,32.81,,,15.25,66.77,2.1,91.76,58.47,81.16,89.41,58.25,64,87.75,15.71,19.67,71.08,10801,335.0,203,1774,474,1774,203,5945
"Health Choice Care, LLC",A2147,2022,,7.58,3148,2636,106,260,174,91,379,479,295,257,2,12,890,237,10076,485,3495,7938693,50.00%,26,79.15,,,,,,,,,,,,,,,42.45,83.78,89.88,60.08,64.92,87.39,31.33,15.73,70.56,9909,361.0,370,1384,269,1384,370,5515
"Health Choice Care, LLC",A2147,2021,,7.58,3148,2636,106,260,174,91,379,479,295,257,2,12,890,237,10076,485,3495,7938693,50.00,26,79.15,,,,,,,,,,,,,,,42.45,83.78,89.88,60.08,64.92,87.39,31.33,15.73,70.56,9909,361.0,370,1384,269,1384,370,5515
"Health Choice Care, LLC",A2147,2020,"FL, RI, NC, MO",7.88,3473,2931,111,216,230,102,358,510,353,308,3,11,943,284,9537,575,3611,11030565,0.48,32,96.87,^,^,^,^,^,^,^,^,^,^,~,~,0.93,93.95,54.55,97.62,92.83,54.49,64.09,87.04,14.29,22.26,62.69,12708,305.0,318,2014,719,2014,318,6552
"Georgia Physicians for Accountable Care, LLC",A2148,2021,,-0.77,2901,2384,104,349,86,506,942,412,266,239,3,18,708,190,14955,7698,4602,0,50.00,63,82.87,,,,,,,,,,,,,,,73.98,88.24,73.64,72.26,73.85,84.77,9.09,7.69,71.63,7665,88.0,36,*,27,*,36,6225
"Georgia Physicians for Accountable Care, LLC",A2148,2020,GA,2.53,2573,2171,81,312,39,327,501,434,263,239,3,16,590,188,12391,6064,4369,6870659,0.49,39,98.75,^,^,^,^,^,^,^,^,^,^,~,~,1.17,90.27,75.29,90.2,81.56,75.6,78.79,88.67,4.84,6.74,75.98,27962,184.0,115,63,404,63,115,22483
"Georgia Physicians for Accountable Care, LLC",A2148,2022,,-0.77,2901,2384,104,349,86,506,942,412,266,239,3,18,708,190,14955,7698,4602,0,50.00%,63,82.87,,,,,,,,,,,,,,,73.98,88.24,73.64,72.26,73.85,84.77,9.09,7.69,71.63,7665,88.0,36,*,27,*,36,6225
"Georgia Physicians for Accountable Care, LLC",A2148,2018,GA,1.7379419999999999,3042,2621,109,289,52,258,516,435,307,284,3,15,736,204,12425,5870,5118,0,46.339999999999996,44,0.9268,88.9,94.94,93.06,89.03,60.73,61.71,72.35,27.5,,,15.23,56.47,2.18,83.67,71.94,97.3,70.31,75.34,74.44,86.67,11.9,12.83,71.71,51895,303.0,300,289,857,289,300,40652
"Georgia Physicians for Accountable Care, LLC",A2148,2019,GA,0.47000000000000003,3146,2661,108,338,74,308,506,455,304,276,2,17,731,208,13035,6164,5030,0,46.0,43,92.17,92.29,95.33,94.05,86.06,61.62,63.86,71.51,26.79,94.64,89.7,15.39,55.5,1.95,84.66,74.26,100,75.2,78.29,74.82,88.14,16.28,11.33,74.31,42069,,,103,696,103,,34011
